soc_band,rows,mean_speed_mps,median_speed_mps,stop_share,very_slow_share,mean_power_W,target_reached_share,graph_valid_edge_share
0-10,173,0.10761997430999842,0.0,0.5780346820809249,0.5780346820809249,214.03468208092485,0.0,1.0
10-20,228,0.14649139298943048,0.12847805023193357,0.4342105263157895,0.4473684210526316,225.08333333333334,0.0,0.5745614035087719
20-30,719,0.11713715338035484,0.0,0.5424200278164116,0.5424200278164116,226.43810848400557,0.06258692628650904,1.0
30-40,980,0.12580872754357297,0.0,0.5173469387755102,0.5214285714285715,234.40918367346939,0.044897959183673466,0.9938775510204082
40-50,2601,0.12507972428454758,0.0570068135857582,0.4917339484813533,0.4998077662437524,242.61707035755478,0.05497885428681276,0.9907727797001153
50-60,3326,0.14735607555224567,0.13379585742950434,0.40198436560432954,0.40408899579073965,254.5607336139507,0.07306073361395068,0.9849669272399278
60+,1679,0.17506488725241268,0.2446188032627105,0.3013698630136986,0.3025610482430018,276.99821322215604,0.09410363311494938,0.9452054794520548
